46.0,38.0,44.0,45.0,42.0,44.0,45.0,43.0,41.0,42.0,36.0
46.0,36.0,42.0,43.0,42.0,43.0,44.0,44.0,39.0,43.0,32.0
45.0,35.0,40.0,41.0,40.0,42.0,41.0,42.0,36.0,43.0,31.0
41.0,30.0,36.0,37.0,39.0,38.0,40.0,34.0,35.0,39.0,30.0
39.0,30.0,34.0,33.0,40.0,38.0,35.0,30.0,33.0,35.0,34.0
35.0,29.0,32.0,32.0,41.0,37.0,35.0,35.0,36.0,35.0,35.0
33.0,28.0,30.0,30.0,38.0,36.0,33.0,34.0,32.0,33.0,32.0
33.0,28.0,30.0,29.0,33.0,36.0,30.0,33.0,31.0,33.0,30.0
36.0,28.0,30.0,30.0,36.0,38.0,31.0,34.0,31.0,35.0,28.0
47.0,33.0,32.0,41.0,43.0,44.0,39.0,41.0,35.0,42.0,30.0
53.0,42.0,44.0,49.0,47.0,52.0,44.0,48.0,40.0,51.0,35.0
54.0,47.0,49.0,54.0,50.0,55.0,51.0,54.0,47.0,55.0,41.0
55.0,52.0,51.0,58.0,51.0,58.0,55.0,58.0,52.0,59.0,47.0
55.0,54.0,52.0,59.0,51.0,60.0,56.0,60.0,55.0,60.0,51.0
55.0,55.0,52.0,60.0,52.0,60.0,59.0,61.0,56.0,61.0,53.0
55.0,56.0,52.0,60.0,51.0,60.0,60.0,62.0,56.0,62.0,54.0
52.0,56.0,51.0,57.0,50.0,59.0,56.0,60.0,55.0,59.0,54.0
46.0,52.0,48.0,51.0,47.0,53.0,51.0,53.0,48.0,53.0,53.0
40.0,47.0,45.0,46.0,39.0,46.0,46.0,43.0,44.0,46.0,50.0
40.0,46.0,35.0,43.0,39.0,44.0,42.0,37.0,38.0,43.0,50.0
39.0,46.0,34.0,40.0,34.0,45.0,40.0,36.0,37.0,44.0,48.0
38.0,45.0,30.0,37.0,33.0,43.0,38.0,36.0,37.0,42.0,47.0
40.0,46.0,30.0,39.0,31.0,43.0,41.0,43.0,37.0,44.0,45.0
41.0,46.0,30.0,42.0,33.0,45.0,41.0,44.0,38.0,46.0,41.0
43.0,45.0,32.0,42.0,36.0,46.0,41.0,45.0,40.0,47.0,40.0
44.0,44.0,33.0,44.0,36.0,47.0,42.0,46.0,41.0,48.0,39.0
46.0,44.0,35.0,45.0,40.0,47.0,43.0,46.0,42.0,48.0,42.0
46.0,45.0,39.0,45.0,42.0,46.0,45.0,46.0,44.0,48.0,42.0
47.0,45.0,41.0,46.0,42.0,47.0,46.0,46.0,44.0,47.0,45.0
47.0,44.0,42.0,46.0,43.0,45.0,46.0,45.0,44.0,46.0,46.0
47.0,43.0,42.0,48.0,45.0,44.0,47.0,46.0,44.0,47.0,46.0
47.0,43.0,43.0,48.0,44.0,44.0,45.0,48.0,41.0,46.0,47.0
47.0,46.0,43.0,49.0,43.0,46.0,43.0,47.0,43.0,46.0,47.0
47.0,48.0,43.0,50.0,42.0,48.0,44.0,46.0,43.0,47.0,47.0
47.0,48.0,44.0,53.0,44.0,49.0,46.0,47.0,45.0,49.0,50.0
49.0,50.0,44.0,55.0,44.0,52.0,48.0,53.0,45.0,52.0,51.0
52.0,51.0,45.0,57.0,45.0,54.0,50.0,51.0,48.0,53.0,52.0
56.0,52.0,46.0,58.0,47.0,56.0,53.0,52.0,52.0,55.0,54.0
54.0,53.0,47.0,60.0,48.0,59.0,54.0,54.0,54.0,58.0,55.0
56.0,55.0,49.0,62.0,49.0,61.0,55.0,57.0,55.0,58.0,57.0
57.0,56.0,49.0,61.0,49.0,60.0,55.0,58.0,56.0,58.0,59.0
53.0,54.0,47.0,54.0,46.0,58.0,52.0,52.0,53.0,56.0,56.0
